anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1401,5582906.903225807,31,5384934.666666667,6,2022-06-01,2022-11-01,,,
gc_1402,4176560.9,10,3655907.5,6,2020-09-01,2021-02-01,,,
gc_1403,11432305.296875,64,16395499.5,6,2025-07-01,2025-12-01,179466674.0,29340722.0,0.16348841456770966
gc_1404,3023331.1818181816,11,2416861.3333333335,6,2020-11-01,2021-04-01,,,
gc_1405,6260496.701492538,67,9366161.833333334,6,2025-07-01,2025-12-01,111269422.0,16895254.0,0.15184094332762868
gc_1406,7257682.424242424,66,11043435.0,6,2025-07-01,2025-12-01,123135212.0,27115359.0,0.22020800191581266
gc_1407,8085778.84375,64,12521090.833333334,6,2025-07-01,2025-12-01,146147941.0,14143912.0,0.09677804492640782
gc_1408,6232067.234375,64,9520807.0,6,2025-07-01,2025-12-01,105934962.0,12443168.0,0.11746044709960815
gc_1409,4051428.2439024393,41,5228402.5,6,2023-10-01,2024-03-01,0.0,0.0,
gc_1410,7340973.603174604,63,9986676.5,6,2025-07-01,2025-12-01,122316095.0,7263786.0,0.059385365433715
gc_1411,6607234.919354838,62,9660250.333333334,6,2025-07-01,2025-12-01,110124985.0,15798379.0,0.14345862566973336
gc_1412,10025757.081967212,61,14269341.0,6,2025-07-01,2025-12-01,148239471.0,14266074.31,0.09623667848895656
gc_1413,366045.55555555556,9,277208.3333333333,6,2021-03-01,2021-10-01,,,
gc_1414,3979321.5081967213,61,6074609.5,6,2025-07-01,2025-12-01,67209766.0,4358421.93,0.06484804499988885
gc_1415,6570744.666666667,60,9686358.0,6,2025-07-01,2025-12-01,102070089.0,7931705.52,0.07770842171010549
gc_1416,5725291.6,60,8794645.333333334,6,2025-07-01,2025-12-01,99804109.0,10107799.0,0.10127638131612397
